product_id,product_name,brand,main_category,subcategory,list_price,sale_price,discount_pct,available
1,"La Costena Chipotle Peppers, 7 OZ (Pack of 12)",La Costeï¿½ï¿½a,Food,"Meal Solutions, Grains & Pasta",31.93,31.93,0.0,True
2,"Equate Triamcinolone Acetonide Nasal Allergy Spray, 55 mcg per spray, 0.37 fl oz",Equate,Health,Equate,10.48,10.48,0.0,True
3,"AduroSmart ERIA Soft White Smart A19 Light Bulb CRI 90+, 60W Equivalent, Hub Required",AduroSmart ERIA,Electronics,Smart Home,10.99,10.99,0.0,True
4,"24"" Classic Adjustable Balloon Fender Set Chrome. for bicycles, bikes, for 24"" lowrider bike, beach cruiser.",lowrider,Sports & Outdoors,Bikes,38.59,38.59,0.0,True
5,Elephant Shape Silicone Drinkware Portable Silicone Cup Lid Baby Eating Training Accessory Suitable for Toddlers and Kids 4 Colors Optional,Anself,Baby,Feeding,5.81,5.81,0.0,True
6,"(6 Boxes) Twinings of London Nightly Calm Green Tea Bags, 20 Ct",Twinings,Food,Beverages,17.99,17.99,0.0,False
7,"Toytainer Shoe Box Play-N-Store, Boy",Toytainer,Home,Kids Rooms,11.52,11.52,0.0,True
8,Dometic D1112002 D Line 3 N 1 Bowl Cleaner and Tank Treatment - Pack of 24,Dometic,Household Essentials,Bathroom,34.41,34.41,0.0,True
9,"Tiny White Mighty Mints (16 oz, ZIN: 525424) - 2-Pack",Larissa Veronica,Food,"Chocolate, Candy & Gum",16.54,16.54,0.0,True
10,Diabetic Socks Small White - Item Number 11600SPR - Small - 1 Pair / Pair,DJO,Health,Diabetes Care,13.76,13.76,0.0,True
11,"FUEL Pureformance Heavy Bag Stand, Black",Fuel Pureformance,Health,Sports Medicine & Injury Recovery Solution,129.99,79.99,38.46,True
12,Compression Arm Sleeves Anti-skid Reflective Long Shooter Sleeve for Basketball/Cycling Sports Protection,EZGO,Sports & Outdoors,Sports,6.99,6.99,0.0,True
13,ECOWISE Premium Yoga/Pilates Mat,EcoWise,Sports & Outdoors,Exercise & Fitness,35.99,35.99,0.0,True
14,Triple Eight T8-Racer 2.0 Full Face Downhill Longboard Mountain Bicycle Helmet (Black Gloss - XS),Triple 8,Sports & Outdoors,Bikes,299.99,299.99,0.0,True
15,"GunVault SpeedVault Handgun Safe, Biometric",GunVault,Sports & Outdoors,Outdoor Sports,289.0,289.0,0.0,True
16,"Centrum Silver Men (200 Count) Complete Multivitamin / Multimineral Supplement Tablet, Vitamin D3, B Vitamins, Zinc, Age 50+",Centrum,Health,Caregiver,17.44,17.44,0.0,True
17,Womens 2mm Back Zip Full Body Wetsuit Swimming Surfing Diving Snorkeling Suit Jumpsuit,Anself,Sports & Outdoors,Outdoor Sports,69.41,69.41,0.0,True
18,"03102 Light Bulb, Vanity Globe, Clear, 720 Lumens, 60-Watts - Quantity 1",Westinghouse,Household Essentials,Light Bulbs,8.81,8.81,0.0,True
